geocode,etiqueta,granularidad,longitud,latitud
001_O,Otros territorios,PAISES,-69.0562,12.2305
001_O,Otros territorios,PAISES,111.8758,16.3681
001_O,Otros territorios,PAISES,79.3724,32.6517
001_O,Otros territorios,PAISES,-63.0529,18.0398
001_O,Otros territorios,PAISES,28.3982,9.7677
001_O,Otros territorios,PAISES,75.8034,34.5545
001_O,Otros territorios,PAISES,35.0376,4.7601
001_O,Otros territorios,PAISES,33.688,21.8884
001_O,Otros territorios,PAISES,79.1242,35.0245
001_O,Otros territorios,PAISES,115.1302,10.6117
001_O,Otros territorios,PAISES,123.5295,25.772
001_O,Otros territorios,PAISES,117.7809,15.1105
001_O,Otros territorios,PAISES,-109.2172,10.3034
001_O,Otros territorios,PAISES,-68.2594,12.1932
001_O,Otros territorios,PAISES,94.3445,28.1273
001_O,Otros territorios,PAISES,35.5071,22.3644
001_O,Otros territorios,PAISES,40.3466,-22.3649
001_O,Otros territorios,PAISES,-75.0125,18.4019
001_O,Otros territorios,PAISES,147.8779,45.0762
004,Afganistán,PAISES,66.0268,33.8315
008,Albania,PAISES,20.0643,41.1392
010,Antártida,PAISES,21.4759,-80.409
012,Argelia,PAISES,2.6769,28.1556
016,Samoa Americana,PAISES,-170.7181,-14.3007
020,Andorra,PAISES,1.6272,42.5636
024,Angola,PAISES,17.5781,-12.3373
028,Antigua y Barbuda,PAISES,-61.7993,17.0773
031,Azerbaiyán,PAISES,47.6579,40.3544
032,Argentina,PAISES,-65.147,-35.1977
036,Australia,PAISES,134.3547,-25.5732
040,Austria,PAISES,14.1406,47.5871
044,Las Bahamas,PAISES,-76.6112,24.2543
048,Bahrein,PAISES,50.5491,26.0441
050,Bangladesh,PAISES,89.9906,24.1463
051,Armenia,PAISES,44.9393,40.2941
052,Barbados,PAISES,-59.5355,13.14
056,Bélgica,PAISES,4.6624,50.641
060,Bermudas,PAISES,-64.7855,32.2798
064,Bhután,PAISES,90.4483,27.39
068,Estado Plurinacional de Bolivia,PAISES,-64.665,-16.7093
070,Bosnia y Herzegovina,PAISES,17.785,44.1679
072,Botswana,PAISES,23.8137,-22.1881
074,Isla Bouvet,PAISES,3.3635,-54.4211
076,Brasil,PAISES,-53.0848,-10.7761
